idspecies,ideunis,sourceid,habitat,level,belongsto,notes
23033,J,363,"Constructed, industrial and other artificial habitats",1,,
23036,J,363,"Constructed, industrial and other artificial habitats",1,,
23039,C,363,Inland surface water habitats,1,,
23039,G,363,Woodland and forest habitats and other wooded land,1,,
23039,J,363,"Constructed, industrial and other artificial habitats",1,,
23041,C,162,Inland surface water habitats,1,,
23041,I,507,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23041,J,507,"Constructed, industrial and other artificial habitats",1,,
23056,C,363,Inland surface water habitats,1,,
23056,J,363,"Constructed, industrial and other artificial habitats",1,,
23058,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23058,J,363,"Constructed, industrial and other artificial habitats",1,,
23060,F9,361,Riverine and fen scrubs,2,F,
23060,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23060,J,,"Constructed, industrial and other artificial habitats",1,,Urban areas
23068,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23068,J,,"Constructed, industrial and other artificial habitats",1,,Urban areas
23070,C,363,Inland surface water habitats,1,,
23070,C2,328,Surface running waters,2,C,
23070,C3,76,Littoral zone of inland surface waterbodies,2,C,River banks
23070,E,363,Grassland and tall forb habitats,1,,
23070,E3,76,Seasonally wet and wet grasslands,2,E,Alluvial soils
23070,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23070,F9,349,Riverine and fen scrubs,2,F,
23070,G,363,Woodland and forest habitats and other wooded land,1,,
23070,G3,412,Coniferous woodland,2,G,
23070,H,329,Inland unvegetated or sparsely vegetated habitats,1,,
23070,H5,76,Miscellaneous inland habitats with very sparse or no vegetation,2,H,Waste ground
23070,I,446,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,Under human management
23070,I1,379,Arable land and market gardens,2,I,
23070,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23070,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
23070,J2,379,Low density buildings,2,J,
23070,J4,379,Transport networks and other constructed hard-surfaced areas,2,J,
23070,J6,427,Waste deposits,2,J,
23070,X21,379,Archaeological sites,2,X,
23076,B,500,Coastal habitats,1,,
23076,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23076,J,500,"Constructed, industrial and other artificial habitats",1,,
23080,J,363,"Constructed, industrial and other artificial habitats",1,,
23084,B1,107,Coastal dunes and sandy shores,2,B,
23084,B3,107,"Rock cliffs, ledges and shores, including the supralittoral ",2,B,
23084,F8,107,Thermo-Atlantic xerophytic scrub,2,F,
23084,G3,107,Coniferous woodland,2,G,
23084,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23084,J4,107,Transport networks and other constructed hard-surfaced areas,2,J,
23087,J,158,"Constructed, industrial and other artificial habitats",1,,
23090,FA,107,Hedgerows,2,F,hedges
23090,J,336,"Constructed, industrial and other artificial habitats",1,,
23090,J4,107,Transport networks and other constructed hard-surfaced areas,2,J,ruderals
23095,J,363,"Constructed, industrial and other artificial habitats",1,,
23097,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23097,J,,"Constructed, industrial and other artificial habitats",1,,Urban areas
23104,H5,197,Miscellaneous inland habitats with very sparse or no vegetation,2,H,"natural habitats,disturbed ground"
23137,G,182,Woodland and forest habitats and other wooded land,1,,"Woodlands, forest edges and cuttings"
23153,B,500,Coastal habitats,1,,
23153,C,500,Inland surface water habitats,1,,
23153,F,500,"Heathland, scrub and tundra habitats",1,,
23153,F9,500,Riverine and fen scrubs,2,F,
23153,G1,500,Broadleaved deciduous woodland,2,G,
23153,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23153,J,500,"Constructed, industrial and other artificial habitats",1,,
23153,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23157,B,498,Coastal habitats,1,,
23157,C2,500,Surface running waters,2,C,
23157,I2,500,Cultivated areas of gardens and parks,2,I,
23157,J,500,"Constructed, industrial and other artificial habitats",1,,
23161,B,234,Coastal habitats,1,,Coastland
23161,C2,328,Surface running waters,2,C,
23161,D,500,"Mire, bog and fen habitats",1,,
23161,E,363,Grassland and tall forb habitats,1,,
23161,E1,412,Dry grasslands,2,E,
23161,E2,412,Mesic grasslands,2,E,
23161,E3,328,Seasonally wet and wet grasslands,2,E,
23161,G,363,Woodland and forest habitats and other wooded land,1,,
23161,G1,500,Broadleaved deciduous woodland,2,G,
23161,G3,500,Coniferous woodland,2,G,
23161,G4,233,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
23161,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23161,I1,427,Arable land and market gardens,2,I,
23161,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23161,J,500,"Constructed, industrial and other artificial habitats",1,,
23161,J2,427,Low density buildings,2,J,
23170,E,328,Grassland and tall forb habitats,1,,
23170,E3,328,Seasonally wet and wet grasslands,2,E,
23170,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23170,H5,79,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23170,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23170,I5,412,,,,
23170,J,448,"Constructed, industrial and other artificial habitats",1,,Urban areas
23170,J6,349,Waste deposits,2,J,
23180,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23180,J,235,"Constructed, industrial and other artificial habitats",1,,Urban areas
23182,I,234,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,Under human management
23182,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23182,J,363,"Constructed, industrial and other artificial habitats",1,,
23182,J4,375,Transport networks and other constructed hard-surfaced areas,2,J,street margin
23185,B,446,Coastal habitats,1,,Coastland
23185,C3,412,Littoral zone of inland surface waterbodies,2,C,
23185,D,500,"Mire, bog and fen habitats",1,,
23185,D5,412,"Sedge and reedbeds, normally without free-standing water",2,D,
23185,E,234,Grassland and tall forb habitats,1,,Grass and heathlands
23185,E1,412,Dry grasslands,2,E,
23185,E3,412,Seasonally wet and wet grasslands,2,E,
23185,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23185,E6,412,Inland salt steppes,2,E,
23185,F3,412,Temperate and mediterranean-montane scrub,2,F,
23185,G1,500,Broadleaved deciduous woodland,2,G,
23185,G3,500,Coniferous woodland,2,G,
23185,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23185,H2,412,Screes,2,H,
23185,H3,412,"Inland cliffs, rock pavements and outcrops",2,H,
23185,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23185,I,498,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23185,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23185,I5,412,,,,
23185,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
23185,J1,427,"Buildings of cities, towns and villages",2,J,
23189,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23189,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
23192,B,234,Coastal habitats,1,,Coastland
23192,B1,79,Coastal dunes and sandy shores,2,B,
23192,B3,427,"Rock cliffs, ledges and shores, including the supralittoral ",2,B,
23192,E,500,Grassland and tall forb habitats,1,,
23192,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23192,H5,79,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23192,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23192,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
23192,J,745,"Constructed, industrial and other artificial habitats",1,,
23192,X25,762,Domestic gardens of villages and urban peripheries,2,X,
23204,C2,412,Surface running waters,2,C,
23204,E1,412,Dry grasslands,2,E,
23204,E2,412,Mesic grasslands,2,E,
23204,E3,412,Seasonally wet and wet grasslands,2,E,
23204,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23204,F3,412,Temperate and mediterranean-montane scrub,2,F,
23204,F9,412,Riverine and fen scrubs,2,F,
23204,G1,412,Broadleaved deciduous woodland,2,G,
23204,G3,412,Coniferous woodland,2,G,
23204,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23204,H2,412,Screes,2,H,
23204,H3,412,"Inland cliffs, rock pavements and outcrops",2,H,
23204,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23204,I1,249,Arable land and market gardens,2,I,
23204,I5,412,,,,
23204,J,363,"Constructed, industrial and other artificial habitats",1,,
23204,X25,249,Domestic gardens of villages and urban peripheries,2,X,
23208,G1,500,Broadleaved deciduous woodland,2,G,
23208,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23208,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23208,I2,500,Cultivated areas of gardens and parks,2,I,
23208,J,500,"Constructed, industrial and other artificial habitats",1,,
23208,X,500,Miscellaneous,1,,
23208,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23210,H3,182,"Inland cliffs, rock pavements and outcrops",2,H,Rocks and screes
23215,F9,500,Riverine and fen scrubs,2,F,
23215,G,500,Woodland and forest habitats and other wooded land,1,,
23215,G1,473,Broadleaved deciduous woodland,2,G,
23215,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23215,J,500,"Constructed, industrial and other artificial habitats",1,,
23217,G1,500,Broadleaved deciduous woodland,2,G,
23217,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23217,J,500,"Constructed, industrial and other artificial habitats",1,,
23217,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23223,C1,328,Surface standing waters,2,C,
23223,C2,328,Surface running waters,2,C,
23223,J,363,"Constructed, industrial and other artificial habitats",1,,
23231,E,427,Grassland and tall forb habitats,1,,
23231,J6,427,Waste deposits,2,J,
23241,J6,260,Waste deposits,2,J,Rubbish tips and other waste places
23243,J,363,"Constructed, industrial and other artificial habitats",1,,
23247,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
23249,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23249,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23249,J,500,"Constructed, industrial and other artificial habitats",1,,
23249,J6,260,Waste deposits,2,J,Rubbish tips and other waste places
23249,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23253,B,500,Coastal habitats,1,,
23253,E,500,Grassland and tall forb habitats,1,,
23253,F9,500,Riverine and fen scrubs,2,F,
23253,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23253,J,500,"Constructed, industrial and other artificial habitats",1,,
23259,E,363,Grassland and tall forb habitats,1,,
23265,J,363,"Constructed, industrial and other artificial habitats",1,,
23267,J,363,"Constructed, industrial and other artificial habitats",1,,
23267,J4,197,Transport networks and other constructed hard-surfaced areas,2,J,roadsides sprayed with herbicides
23273,B,500,Coastal habitats,1,,
23273,C,500,Inland surface water habitats,1,,
23273,C1,412,Surface standing waters,2,C,
23273,C3,412,Littoral zone of inland surface waterbodies,2,C,
23273,D,485,"Mire, bog and fen habitats",1,,
23273,E,500,Grassland and tall forb habitats,1,,
23273,E1,412,Dry grasslands,2,E,
23273,E2,412,Mesic grasslands,2,E,
23273,E3,412,Seasonally wet and wet grasslands,2,E,
23273,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23273,E6,412,Inland salt steppes,2,E,
23273,F9,500,Riverine and fen scrubs,2,F,
23273,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23273,H,361,Inland unvegetated or sparsely vegetated habitats,1,,
23273,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23273,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23273,I1,427,Arable land and market gardens,2,I,
23273,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23273,I5,412,,,,
23273,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
23273,J1,427,"Buildings of cities, towns and villages",2,J,
23273,J2,427,Low density buildings,2,J,
23273,J4,361,Transport networks and other constructed hard-surfaced areas,2,J,
23273,J6,349,Waste deposits,2,J,
23305,B,500,Coastal habitats,1,,
23305,E,500,Grassland and tall forb habitats,1,,
23305,E2,328,Mesic grasslands,2,E,
23305,F9,500,Riverine and fen scrubs,2,F,
23305,H,361,Inland unvegetated or sparsely vegetated habitats,1,,
23305,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23305,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23305,J,500,"Constructed, industrial and other artificial habitats",1,,
23305,J4,361,Transport networks and other constructed hard-surfaced areas,2,J,
23305,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23325,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23326,G,427,Woodland and forest habitats and other wooded land,1,,
23326,H3,427,"Inland cliffs, rock pavements and outcrops",2,H,
23326,J2,427,Low density buildings,2,J,
23334,FA,427,Hedgerows,2,F,
23334,I2,427,Cultivated areas of gardens and parks,2,I,
23339,B,427,Coastal habitats,1,,
23347,B,,Coastal habitats,1,,Coastland
23347,E,328,Grassland and tall forb habitats,1,,
23347,E1,412,Dry grasslands,2,E,
23347,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23347,G1,412,Broadleaved deciduous woodland,2,G,
23347,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23347,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23347,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23347,I5,412,,,,
23347,J,500,"Constructed, industrial and other artificial habitats",1,,
23347,J4,328,Transport networks and other constructed hard-surfaced areas,2,J,
23347,J6,427,Waste deposits,2,J,
23347,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23352,J,363,"Constructed, industrial and other artificial habitats",1,,
23359,J,363,"Constructed, industrial and other artificial habitats",1,,
23372,J4,197,Transport networks and other constructed hard-surfaced areas,2,J,roadsides sprayed with herbicides
23374,F9,427,Riverine and fen scrubs,2,F,
23374,G,427,Woodland and forest habitats and other wooded land,1,,
23377,B,500,Coastal habitats,1,,
23377,C3,107,Littoral zone of inland surface waterbodies,2,C,
23377,D1,107,Raised and blanket bogs,2,D,
23377,E,500,Grassland and tall forb habitats,1,,
23377,E3,107,Seasonally wet and wet grasslands,2,E,
23377,F3,427,Temperate and mediterranean-montane scrub,2,F,
23377,F9,500,Riverine and fen scrubs,2,F,
23377,FA,427,Hedgerows,2,F,
23377,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23377,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23377,J,500,"Constructed, industrial and other artificial habitats",1,,
23377,J4,160,Transport networks and other constructed hard-surfaced areas,2,J,
23377,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23389,C3,,Littoral zone of inland surface waterbodies,2,C,Riparian zones
23389,D,235,"Mire, bog and fen habitats",1,,Wetlands
23389,E,496,Grassland and tall forb habitats,1,,
23389,G4,236,Mixed deciduous and coniferous woodland,2,G,Mixed conifer/broadleaf forest
23389,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23389,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
23389,J,745,"Constructed, industrial and other artificial habitats",1,,
23389,X25,745,Domestic gardens of villages and urban peripheries,2,X,
23392,B,500,Coastal habitats,1,,
23392,E,500,Grassland and tall forb habitats,1,,
23392,F9,500,Riverine and fen scrubs,2,F,
23392,G1,500,Broadleaved deciduous woodland,2,G,
23392,H3,474,"Inland cliffs, rock pavements and outcrops",2,H,
23392,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23392,I2,427,Cultivated areas of gardens and parks,2,I,
23392,J,500,"Constructed, industrial and other artificial habitats",1,,
23392,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23398,B,500,Coastal habitats,1,,
23398,D,500,"Mire, bog and fen habitats",1,,
23398,F9,500,Riverine and fen scrubs,2,F,
23398,H3,472,"Inland cliffs, rock pavements and outcrops",2,H,
23398,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23398,J,500,"Constructed, industrial and other artificial habitats",1,,
23398,X25,500,Domestic gardens of villages and urban peripheries,2,X,
23400,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
23400,J,,"Constructed, industrial and other artificial habitats",1,,Disturbed areas
23403,B,500,Coastal habitats,1,,
23403,E,328,Grassland and tall forb habitats,1,,
23403,E2,328,Mesic grasslands,2,E,
23403,F9,500,Riverine and fen scrubs,2,F,
23403,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23403,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23403,J,500,"Constructed, industrial and other artificial habitats",1,,
23414,B,456,Coastal habitats,1,,
23414,E,500,Grassland and tall forb habitats,1,,
23414,H3,456,"Inland cliffs, rock pavements and outcrops",2,H,
23414,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23414,J,500,"Constructed, industrial and other artificial habitats",1,,
23441,I2,235,Cultivated areas of gardens and parks,2,I,Disturbed areas
23441,J,427,"Constructed, industrial and other artificial habitats",1,,
23445,B,500,Coastal habitats,1,,
23445,D,500,"Mire, bog and fen habitats",1,,
23445,E,500,Grassland and tall forb habitats,1,,
23445,F9,500,Riverine and fen scrubs,2,F,
23445,J,500,"Constructed, industrial and other artificial habitats",1,,
23451,I,182,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,"Fallow land, ruderal communities and arable fields"
23451,J,427,"Constructed, industrial and other artificial habitats",1,,
23455,B,500,Coastal habitats,1,,
23455,D,500,"Mire, bog and fen habitats",1,,
23455,E,500,Grassland and tall forb habitats,1,,
23455,F9,500,Riverine and fen scrubs,2,F,
23455,J,500,"Constructed, industrial and other artificial habitats",1,,
23469,G4,498,Mixed deciduous and coniferous woodland,2,G,
23469,I,498,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23469,J,496,"Constructed, industrial and other artificial habitats",1,,
23469,X25,488,Domestic gardens of villages and urban peripheries,2,X,
23491,G4,107,Mixed deciduous and coniferous woodland,2,G,ancient anthropogenic woodlands
23498,B,500,Coastal habitats,1,,
23498,D,500,"Mire, bog and fen habitats",1,,
23498,E,500,Grassland and tall forb habitats,1,,
23498,F9,500,Riverine and fen scrubs,2,F,
23498,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23498,J,500,"Constructed, industrial and other artificial habitats",1,,
23500,B,498,Coastal habitats,1,,
23500,F9,498,Riverine and fen scrubs,2,F,
23500,I,474,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23500,J,498,"Constructed, industrial and other artificial habitats",1,,
23501,I1,107,Arable land and market gardens,2,I,
23501,J4,107,Transport networks and other constructed hard-surfaced areas,2,J,ruderals
23516,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
23516,J,,"Constructed, industrial and other artificial habitats",1,,Disturbed areas
23521,B,333,Coastal habitats,1,,"coastal cliffs, dry pastures, waste places, roadsides up to 300 m a.s.l."
23521,I,333,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,"coastal cliffs, dry pastures, waste places, roadsides up to 300 m a.s.l."
23521,J,333,"Constructed, industrial and other artificial habitats",1,,"coastal cliffs, dry pastures, waste places, roadsides up to 300 m a.s.l."
23530,J,363,"Constructed, industrial and other artificial habitats",1,,
23533,C,162,Inland surface water habitats,1,,
23533,C1,328,Surface standing waters,2,C,
23533,E,500,Grassland and tall forb habitats,1,,
23533,E3,328,Seasonally wet and wet grasslands,2,E,
23533,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23533,J,500,"Constructed, industrial and other artificial habitats",1,,
23533,J4,328,Transport networks and other constructed hard-surfaced areas,2,J,
23539,B,500,Coastal habitats,1,,
23539,C,162,Inland surface water habitats,1,,
23539,C2,328,Surface running waters,2,C,
23539,C3,,Littoral zone of inland surface waterbodies,2,C,River banks
23539,D,500,"Mire, bog and fen habitats",1,,
23539,D5,412,"Sedge and reedbeds, normally without free-standing water",2,D,
23539,E,500,Grassland and tall forb habitats,1,,
23539,E3,349,Seasonally wet and wet grasslands,2,E,
23539,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23539,F9,500,Riverine and fen scrubs,2,F,
23539,G,363,Woodland and forest habitats and other wooded land,1,,
23539,G1,412,Broadleaved deciduous woodland,2,G,
23539,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23539,H5,76,Miscellaneous inland habitats with very sparse or no vegetation,2,H,Waste ground
23539,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23539,I2,446,Cultivated areas of gardens and parks,2,I,Disturbed areas
23539,J,500,"Constructed, industrial and other artificial habitats",1,,
23544,J,363,"Constructed, industrial and other artificial habitats",1,,
23546,F5,107,"Maquis, arborescent matorral and thermo-Mediterranean brushes",2,F,
23546,J2,191,Low density buildings,2,J,Walls
23552,E,162,Grassland and tall forb habitats,1,,
23557,J,363,"Constructed, industrial and other artificial habitats",1,,
23559,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23559,J,451,"Constructed, industrial and other artificial habitats",1,,Urban areas
23561,J,142,"Constructed, industrial and other artificial habitats",1,,
23571,I1,32,Arable land and market gardens,2,I,waste places
23571,J4,32,Transport networks and other constructed hard-surfaced areas,2,J,roadsides
23572,J,363,"Constructed, industrial and other artificial habitats",1,,
23578,X2,75,Saline coastal lagoons,2,X,salt lake margins
23580,J4,107,Transport networks and other constructed hard-surfaced areas,2,J,ruderals
23603,J,300,"Constructed, industrial and other artificial habitats",1,,
23603,J2,107,Low density buildings,2,J,walls
23606,E,500,Grassland and tall forb habitats,1,,
23606,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23606,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23606,J,500,"Constructed, industrial and other artificial habitats",1,,
23608,B1,107,Coastal dunes and sandy shores,2,B,
23608,B3,427,"Rock cliffs, ledges and shores, including the supralittoral ",2,B,
23608,J,300,"Constructed, industrial and other artificial habitats",1,,
23608,J4,258,Transport networks and other constructed hard-surfaced areas,2,J,roadsides
23627,J,160,"Constructed, industrial and other artificial habitats",1,,
23634,B1,107,Coastal dunes and sandy shores,2,B,
23640,C2,500,Surface running waters,2,C,
23640,D,500,"Mire, bog and fen habitats",1,,
23640,G1,500,Broadleaved deciduous woodland,2,G,
23640,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23640,J,500,"Constructed, industrial and other artificial habitats",1,,
23642,F9,747,Riverine and fen scrubs,2,F,
23642,G1,500,Broadleaved deciduous woodland,2,G,
23642,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23642,I2,427,Cultivated areas of gardens and parks,2,I,
23642,J,500,"Constructed, industrial and other artificial habitats",1,,
23642,J2,427,Low density buildings,2,J,
23642,X,747,Miscellaneous,1,,
23642,X25,741,Domestic gardens of villages and urban peripheries,2,X,
23650,I,336,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23664,E2,328,Mesic grasslands,2,E,
23664,E3,328,Seasonally wet and wet grasslands,2,E,
23664,E5,76,Woodland fringes and clearings and tall forb stands,2,E,Grassland
23664,H,361,Inland unvegetated or sparsely vegetated habitats,1,,
23664,H2,328,Screes,2,H,
23664,H5,76,Miscellaneous inland habitats with very sparse or no vegetation,2,H,Waste ground
23664,I,182,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,"Fallow land, ruderal communities and arable fields"
23664,J,182,"Constructed, industrial and other artificial habitats",1,,"Fallow land, ruderal communities and arable fields"
23664,J4,76,Transport networks and other constructed hard-surfaced areas,2,J,Roadsides
23664,X6,76,Crops shaded by trees,2,X,Vineyards
23670,B,500,Coastal habitats,1,,
23670,E,500,Grassland and tall forb habitats,1,,
23670,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23670,J,500,"Constructed, industrial and other artificial habitats",1,,
23672,J,160,"Constructed, industrial and other artificial habitats",1,,
23675,J,142,"Constructed, industrial and other artificial habitats",1,,
23676,B3,427,"Rock cliffs, ledges and shores, including the supralittoral ",2,B,
23676,F9,107,Riverine and fen scrubs,2,F,
23676,FA,107,Hedgerows,2,F,hedges
23676,I1,293,Arable land and market gardens,2,I,
23676,J,329,"Constructed, industrial and other artificial habitats",1,,
23676,K,107,,,,epiphite
23676,X11,107,Large parks,2,X,
23688,B,496,Coastal habitats,1,,
23688,D,496,"Mire, bog and fen habitats",1,,
23688,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23688,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23688,J,500,"Constructed, industrial and other artificial habitats",1,,
23704,J,329,"Constructed, industrial and other artificial habitats",1,,
23707,G,361,Woodland and forest habitats and other wooded land,1,,
23707,H3,361,"Inland cliffs, rock pavements and outcrops",2,H,
23707,J,76,"Constructed, industrial and other artificial habitats",1,,Ruderal
23707,J4,361,Transport networks and other constructed hard-surfaced areas,2,J,
23713,E,500,Grassland and tall forb habitats,1,,
23713,F9,498,Riverine and fen scrubs,2,F,
23713,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23713,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23713,J,500,"Constructed, industrial and other artificial habitats",1,,
23718,B,500,Coastal habitats,1,,
23718,C2,500,Surface running waters,2,C,
23718,C3,500,Littoral zone of inland surface waterbodies,2,C,
23718,D,500,"Mire, bog and fen habitats",1,,
23718,E,446,Grassland and tall forb habitats,1,,Grass and heathlands
23718,E1,412,Dry grasslands,2,E,
23718,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23718,F9,500,Riverine and fen scrubs,2,F,
23718,G1,498,Broadleaved deciduous woodland,2,G,
23718,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23718,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23718,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23718,I1,79,Arable land and market gardens,2,I,
23718,I2,451,Cultivated areas of gardens and parks,2,I,Disturbed areas
23718,I5,412,,,,
23718,J,500,"Constructed, industrial and other artificial habitats",1,,
23718,J4,328,Transport networks and other constructed hard-surfaced areas,2,J,
23725,B,500,Coastal habitats,1,,
23725,F9,500,Riverine and fen scrubs,2,F,
23725,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23725,J,500,"Constructed, industrial and other artificial habitats",1,,
23728,B,500,Coastal habitats,1,,
23728,C3,412,Littoral zone of inland surface waterbodies,2,C,
23728,E,500,Grassland and tall forb habitats,1,,
23728,E1,412,Dry grasslands,2,E,
23728,E5,412,Woodland fringes and clearings and tall forb stands,2,E,
23728,E6,412,Inland salt steppes,2,E,
23728,F9,500,Riverine and fen scrubs,2,F,
23728,G5,412,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,G,
23728,H2,412,Screes,2,H,
23728,H3,500,"Inland cliffs, rock pavements and outcrops",2,H,
23728,H5,412,Miscellaneous inland habitats with very sparse or no vegetation,2,H,
23728,I,500,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23728,I5,412,,,,
23728,J,500,"Constructed, industrial and other artificial habitats",1,,
23737,I,,"Regularly or recently cultivated agricultural, horticultural and domestic habitats",1,,
23737,J,162,"Constructed, industrial and other artificial habitats",1,,
23746,E3,328,Seasonally wet and wet grasslands,2,E,
